Especialidad,Postulantes,Cupos,Resto
Alergia,3,3,0
Patologia,50,40,14
Anestesiologia,343,103,247
Cardiologia,288,147,219
Cx cardiovascular,27,7,20
Cx cardiovascular infantil,8,3,5
Cx de torax,1,2,-1
Cirugia,447,202,298
Cx infantil,50,8,42
Cx plastica,25,1,24
Clinica,283,502,-26
Dermatologia,228,32,202
Dx por imagenes,269,157,212
Emergentologia,31,63,-24
Endocrinologia,72,16,60
Farmacologia,1,1,0
Fisiatria,19,13,6
Gastroenterologia,127,31,99
Genetica,8,6,2
Geriatria,6,13,3
Tocoginecologia,316,215,135
Hematologia,25,27,5
Hemoterapia,1,4,-3
Infectologia,30,41,-1
Inmunologia,1,1,0
Aeronautica y espacial,1,3,1
Familiar,87,193,-104
Nefrologia,34,27,10
Neumonologia,22,29,-6
NeuroCx,126,32,100
NeuroCx pediatrica,2,1,1
Neurologia,100,39,75
Oftalmologia,231,64,203
Oncologia,27,24,7
Traumatologia,261,187,120
Traumatologia infantil,5,7,-2
ORL,180,42,154
Pediatria,394,450,-15
Psiquiatria,149,120,55
Radioterapia,7,3,5
Reumatologia,15,11,4
UTI,96,205,-43
Toxicologia,1,3,-2
Urologia,130,41,102
